ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28608,BOONE,Boone,NC,WATAUGA,Watauga,36.21414,-81.678913
28609,CATAWBA,Catawba,NC,CATAWBA,Catawba,35.687117,-81.039168
28610,CLAREMONT,Claremont,NC,CATAWBA,Catawba,35.735012,-81.138793
28611,COLLETTSVILLE,Collettsville,NC,CALDWELL,Caldwell,36.005759,-81.752853
28612,CONNELLYS SPRINGS,Connellys Springs,NC,BURKE,Burke,35.671746,-81.555475
28613,CONOVER,Conover,NC,CATAWBA,Catawba,35.741044,-81.215278
28615,CRESTON,Creston,NC,ASHE,Ashe,36.4712,-81.644809
28616,CROSSNORE,Crossnore,NC,AVERY,Avery,36.030231,-81.923055
28617,CRUMPLER,Crumpler,NC,ASHE,Ashe,36.481406,-81.37388
28618,DEEP GAP,Deep Gap,NC,WATAUGA,Watauga,36.201388,-81.517832
28619,DREXEL,Drexel,NC,BURKE,Burke,35.759842,-81.601444
28621,ELKIN,Elkin,NC,SURRY,Surry,36.319026,-80.852816
28622,ELK PARK,Elk Park,NC,AVERY,Avery,36.203675,-81.952829
28623,ENNICE,Ennice,NC,ALLEGHANY,Alleghany,36.523334,-80.968815
28624,FERGUSON,Ferguson,NC,WILKES,Wilkes,36.120335,-81.424922
28625,STATESVILLE,Statesville,NC,IREDELL,Iredell,35.888144,-80.891066
28626,FLEETWOOD,Fleetwood,NC,ASHE,Ashe,36.289116,-81.496806
28627,GLADE VALLEY,Glade Valley,NC,ALLEGHANY,Alleghany,36.441796,-81.003008
28628,GLEN ALPINE,Glen Alpine,NC,BURKE,Burke,35.7287,-81.7795
28629,GLENDALE SPRINGS,Glendale Springs,NC,ASHE,Ashe,36.336276,-81.370352
28570,NEWPORT,Newport,NC,CARTERET,Carteret,34.775636,-76.885927
28571,ORIENTAL,Oriental,NC,PAMLICO,Pamlico,35.056788,-76.699534
28572,PINK HILL,Pink Hill,NC,LENOIR,Lenoir,35.024833,-77.730516
28573,POLLOCKSVILLE,Pollocksville,NC,JONES,Jones,35.024252,-77.232858
28574,RICHLANDS,Richlands,NC,ONSLOW,Onslow,34.852617,-77.567756
28575,SALTER PATH,Salter Path,NC,CARTERET,Carteret,34.688782,-76.88671
28577,SEALEVEL,Sealevel,NC,CARTERET,Carteret,34.887097,-76.387851
28578,SEVEN SPRINGS,Seven Springs,NC,WAYNE,Wayne,35.203394,-77.885312
28579,SMYRNA,Smyrna,NC,CARTERET,Carteret,34.787934,-76.507202
28580,SNOW HILL,Snow Hill,NC,GREENE,Greene,35.45113,-77.655968
28581,STACY,Stacy,NC,CARTERET,Carteret,34.858408,-76.412238
28582,STELLA,Stella,NC,CARTERET,Carteret,34.75852,-77.143284
28583,STONEWALL,Stonewall,NC,PAMLICO,Pamlico,35.1363,-76.7492
28604,BANNER ELK,Banner Elk,NC,AVERY,Avery,36.187108,-81.831167
28605,BLOWING ROCK,Blowing Rock,NC,WATAUGA,Watauga,36.122346,-81.749738
28606,BOOMER,Boomer,NC,WILKES,Wilkes,36.058088,-81.316149
28607,BOONE,Boone,NC,WATAUGA,Watauga,36.225041,-81.656946
28630,GRANITE FALLS,Granite Falls,NC,CALDWELL,Caldwell,35.836248,-81.44957
28631,GRASSY CREEK,Grassy Creek,NC,ASHE,Ashe,36.545148,-81.421522
28633,LENOIR,Lenoir,NC,CALDWELL,Caldwell,35.9137,-81.5393
28634,HARMONY,Harmony,NC,IREDELL,Iredell,35.96449,-80.770468
28635,HAYS,Hays,NC,WILKES,Wilkes,36.334453,-81.123675
28636,HIDDENITE,Hiddenite,NC,ALEXANDER,Alexander,35.935977,-81.060017
28637,HILDEBRAN,Hildebran,NC,BURKE,Burke,35.720059,-81.423754
28644,LAUREL SPRINGS,Laurel Springs,NC,ALLEGHANY,Alleghany,36.439295,-81.268174
28645,LENOIR,Lenoir,NC,CALDWELL,Caldwell,35.95583,-81.531037
28655,MORGANTON,Morganton,NC,BURKE,Burke,35.761193,-81.723971
28656,NORTH WILKESBORO,North Wilkesboro,NC,WILKES,Wilkes,36.1585,-81.1478
28659,NORTH WILKESBORO,North Wilkesboro,NC,WILKES,Wilkes,36.168302,-81.063274
28660,OLIN,Olin,NC,IREDELL,Iredell,35.971251,-80.86293
28661,PATTERSON,Patterson,NC,CALDWELL,Caldwell,35.9886,-81.5588
28671,RUTHERFORD COLLEGE,Rutherford College,NC,BURKE,Burke,35.752818,-81.53405
28672,SCOTTVILLE,Scottville,NC,ASHE,Ashe,36.469494,-81.330979
28673,SHERRILLS FORD,Sherrills Ford,NC,CATAWBA,Catawba,35.601448,-80.994261
28675,SPARTA,Sparta,NC,ALLEGHANY,Alleghany,36.482727,-81.153858
28676,STATE ROAD,State Road,NC,SURRY,Surry,36.334376,-80.864206
28680,MORGANTON,Morganton,NC,BURKE,Burke,35.7456,-81.6852
28681,TAYLORSVILLE,Taylorsville,NC,ALEXANDER,Alexander,35.916468,-81.200142
